Year;Age;Female;Male;Total
1835;0;420552.36;437654.46;858206.82
1835;1-4;1436722.41;1469336.93;2906059.34
1835;5-9;1638105.44;1671655.92;3309761.36
1835;10-14;1545051.62;1585675.07;3130726.69
1835;15-19;1474041.83;1531384.60;3005426.43
1835;20-24;1355681.44;1430511.05;2786192.49
1835;25-29;1268795.60;1318489.90;2587285.50
1835;30-34;1214700.04;1243780.08;2458480.12
1835;35-39;1175759.63;1137455.50;2313215.13
1835;40-44;1052228.29;911797.23;1964025.52
1835;45-49;971284.21;803402.52;1774686.73
1835;50-54;848505.03;763344.66;1611849.69
1835;55-59;739232.91;655518.32;1394751.23
1835;60-64;610289.48;502633.42;1112922.90
1835;65-69;486845.31;409026.12;895871.43
1835;70-74;339538.68;303321.22;642859.90
1835;75-79;203472.72;184316.26;387788.98
1835;80-84;94136.59;86013.77;180150.36
1835;85-89;28637.83;25493.64;54131.47
1835;90-94;7632.74;6814.07;14446.81
1835;95-99;1569.80;1377.07;2946.87
1835;100-104;182.83;154.94;337.77
1835;105-109;16.53;13.38;29.91
1835;110+;0.00;0.00;0.00
1836;0;458454.32;484860.31;943314.63
1836;1-4;1444545.68;1470139.69;2914685.37
1836;5-9;1643999.99;1682000.01;3326000.00
1836;10-14;1546999.99;1583000.00;3129999.99
1836;15-19;1479999.99;1531000.01;3011000.00
1836;20-24;1365999.99;1443000.00;2808999.99
1836;25-29;1271000.00;1322000.01;2593000.01
1836;30-34;1205000.00;1250000.00;2455000.00
1836;35-39;1167000.00;1154999.99;2321999.99
1836;40-44;1077000.01;947999.99;2025000.00
1836;45-49;986999.99;795000.00;1781999.99
1836;50-54;850000.00;762000.00;1612000.00
1836;55-59;740000.00;664999.99;1404999.99
1836;60-64;622000.00;512000.00;1134000.00
1836;65-69;487000.00;402000.01;889000.01
1836;70-74;342000.00;301999.99;643999.99
1836;75-79;204999.99;185000.01;390000.00
1836;80-84;95863.51;87009.81;182873.32
1836;85-89;29782.07;26224.50;56006.57
1836;90-94;7656.94;6685.95;14342.89
1836;95-99;1572.88;1340.64;2913.52
1836;100-104;166.95;144.81;311.76
1836;105-109;13.65;13.06;26.71
1836;110+;0.00;0.00;0.00
1837;0;426886.92;444259.18;871146.10
1837;1-4;1481934.80;1522262.30;3004197.10
1837;5-9;1647951.81;1685459.72;3333411.53
1837;10-14;1556984.16;1594075.28;3151059.44
1837;15-19;1487875.16;1536292.74;3024167.90
1837;20-24;1376736.79;1451413.08;2828149.87
1837;25-29;1275908.11;1327731.64;2603639.75
1837;30-34;1204995.86;1246890.47;2451886.33
1837;35-39;1168420.23;1167727.59;2336147.82
1837;40-44;1090982.49;984900.48;2075882.97
1837;45-49;971928.57;799344.27;1771272.84
1837;50-54;863596.74;755810.62;1619407.36
1837;55-59;750118.22;672152.38;1422270.60
1837;60-64;628121.83;525880.03;1154001.86
1837;65-69;486187.67;398350.14;884537.81
1837;70-74;348643.23;301341.50;649984.73
1837;75-79;207266.16;185480.15;392746.31
1837;80-84;97269.44;87561.82;184831.26
1837;85-89;30976.43;26972.73;57949.16
1837;90-94;7779.30;6682.99;14462.29
1837;95-99;1592.04;1370.79;2962.83
1837;100-104;173.20;134.14;307.34
1837;105-109;15.03;11.46;26.49
1837;110+;0.00;0.00;0.00
1838;0;412691.01;429770.20;842461.21
1838;1-4;1479046.65;1522536.20;3001582.85
1838;5-9;1652346.37;1692020.87;3344367.24
1838;10-14;1563422.09;1602007.29;3165429.38
1838;15-19;1494019.26;1541284.58;3035303.84
1838;20-24;1387466.59;1456497.81;2843964.40
1838;25-29;1280887.34;1333672.33;2614559.67
1838;30-34;1203493.51;1244172.35;2447665.86
1838;35-39;1164175.47;1173435.94;2337611.41
1838;40-44;1100771.74;1018807.90;2119579.64
1838;45-49;963783.22;808408.46;1772191.68
1838;50-54;871887.39;747823.47;1619710.86
1838;55-59;755379.44;674619.18;1429998.62
1838;60-64;629940.91;536417.01;1166357.92
1838;65-69;481538.66;393078.84;874617.50
1838;70-74;347495.87;295111.31;642607.18
1838;75-79;204073.21;181068.78;385141.99
1838;80-84;94962.07;85102.00;180064.07
1838;85-89;30828.15;26806.62;57634.77
1838;90-94;7669.23;6580.72;14249.95
1838;95-99;1501.60;1296.77;2798.37
1838;100-104;163.63;117.94;281.57
1838;105-109;14.41;9.67;24.08
1838;110+;0.00;0.00;0.00
1839;0;419690.26;438067.39;857757.65
1839;1-4;1461155.04;1503449.44;2964604.48
1839;5-9;1655357.75;1699620.62;3354978.37
1839;10-14;1568002.89;1608303.45;3176306.34
1839;15-19;1499686.61;1547288.18;3046974.79
1839;20-24;1399311.38;1460698.67;2860010.05
1839;25-29;1287704.21;1340970.72;2628674.93
1839;30-34;1203038.90;1243535.70;2446574.60
1839;35-39;1157822.44;1174854.70;2332677.14
1839;40-44;1107490.44;1049608.29;2157098.73
1839;45-49;966653.21;825546.18;1792199.39
1839;50-54;879060.65;741604.52;1620665.17
1839;55-59;760838.76;676976.09;1437814.85
1839;60-64;634679.41;547793.79;1182473.20
1839;65-69;483904.60;394028.65;877933.25
1839;70-74;349936.27;292020.71;641956.98
1839;75-79;205365.84;180042.81;385408.65
1839;80-84;95008.19;84657.25;179665.44
1839;85-89;31483.62;27511.56;58995.18
1839;90-94;7971.78;6836.06;14807.84
1839;95-99;1485.90;1295.33;2781.23
1839;100-104;145.47;100.59;246.06
1839;105-109;9.19;4.76;13.95
1839;110+;0.00;0.00;0.00
1840;0;422362.32;439530.51;861892.83
1840;1-4;1461237.60;1497624.78;2958862.38
1840;5-9;1658008.98;1709023.05;3367032.03
1840;10-14;1571562.38;1613676.55;3185238.93
1840;15-19;1503949.74;1552873.42;3056823.16
1840;20-24;1411866.21;1466245.64;2878111.85
1840;25-29;1295778.65;1350433.59;2646212.24
1840;30-34;1203396.53;1245840.75;2449237.28
1840;35-39;1149821.23;1172620.47;2322441.70
1840;40-44;1108544.30;1075183.39;2183727.69
1840;45-49;980998.41;851175.49;1832173.90
1840;50-54;884895.76;737012.46;1621908.22
1840;55-59;765106.31;678686.18;1443792.49
1840;60-64;638915.56;558325.37;1197240.93
1840;65-69;491529.29;400231.68;891760.97
1840;70-74;352816.68;289882.66;642699.34
1840;75-79;208362.54;180524.40;388886.94
1840;80-84;96337.56;85100.21;181437.77
1840;85-89;32611.98;28432.22;61044.20
1840;90-94;8420.94;7134.36;15555.30
1840;95-99;1529.24;1321.77;2851.01
1840;100-104;139.34;106.35;245.69
1840;105-109;6.83;5.15;11.98
1840;110+;0.00;0.00;0.00
1841;0;459180.05;481365.03;940545.08
1841;1-4;1473819.94;1495634.96;2969454.90
1841;5-9;1657000.00;1716999.99;3373999.99
1841;10-14;1574000.01;1618000.00;3192000.01
1841;15-19;1506000.00;1558000.00;3064000.00
1841;20-24;1423999.99;1468000.00;2891999.99
1841;25-29;1304000.00;1359000.01;2663000.01
1841;30-34;1204000.00;1250000.00;2454000.00
1841;35-39;1139999.99;1167000.00;2306999.99
1841;40-44;1100000.00;1092000.00;2192000.00
1841;45-49;1007000.00;885000.00;1892000.00
1841;50-54;887000.00;731999.99;1618999.99
1841;55-59;767000.00;677999.99;1444999.99
1841;60-64;639999.99;564999.99;1204999.98
1841;65-69;502000.00;410000.01;912000.01
1841;70-74;351999.99;285000.00;636999.99
1841;75-79;210000.00;180000.01;390000.01
1841;80-84;96319.66;84257.16;180576.82
1841;85-89;32400.44;28446.11;60846.55
1841;90-94;8673.33;7246.52;15919.85
1841;95-99;1523.67;1344.35;2868.02
1841;100-104;143.06;102.98;246.04
1841;105-109;7.10;4.34;11.44
1841;110+;0.00;0.00;0.00
1842;0;428781.31;447142.72;875924.03
1842;1-4;1501536.32;1537463.35;3038999.67
1842;5-9;1664104.64;1714993.68;3379098.32
1842;10-14;1580900.79;1625297.13;3206197.92
1842;15-19;1509532.85;1560907.33;3070440.18
1842;20-24;1427911.84;1468472.37;2896384.21
1842;25-29;1313855.05;1360965.66;2674820.71
1842;30-34;1212117.23;1257498.75;2469615.98
1842;35-39;1140426.94;1171104.77;2311531.71
1842;40-44;1099616.54;1099499.57;2199116.11
1842;45-49;1020888.85;920458.36;1941347.21
1842;50-54;882053.89;734838.36;1616892.25
1842;55-59;776477.64;674716.03;1451193.67
1842;60-64;649469.54;573552.07;1223021.61
1842;65-69;507896.28;422070.57;929966.85
1842;70-74;353522.85;283883.42;637406.27
1842;75-79;214656.02;180341.44;394997.46
1842;80-84;97229.82;84515.60;181745.42
1842;85-89;32864.66;28593.45;61458.11
1842;90-94;8850.53;7482.27;16332.80
1842;95-99;1562.72;1394.13;2956.85
1842;100-104;153.11;102.14;255.25
1842;105-109;8.75;4.35;13.10
1842;110+;0.00;0.00;0.00
1843;0;428180.60;447066.05;875246.65
1843;1-4;1498980.86;1538996.18;3037977.04
1843;5-9;1670850.11;1717247.40;3388097.51
1843;10-14;1588025.17;1632594.06;3220619.23
1843;15-19;1512873.49;1562855.82;3075729.31
1843;20-24;1431167.09;1471357.67;2902524.76
1843;25-29;1324584.57;1365050.17;2689634.74
1843;30-34;1219261.77;1265240.11;2484501.88
1843;35-39;1141168.99;1174585.64;2315754.63
1843;40-44;1095621.18;1102683.40;2198304.58
1843;45-49;1031781.02;953500.59;1985281.61
1843;50-54;882898.51;743360.42;1626258.93
1843;55-59;784581.96;669874.52;1454456.48
1843;60-64;655557.99;578724.32;1234282.31
1843;65-69;511916.87;432739.85;944656.72
1843;70-74;353138.06;283049.86;636187.92
1843;75-79;216408.38;178666.44;395074.82
1843;80-84;97084.70;83951.74;181036.44
1843;85-89;32950.40;27904.62;60855.02
1843;90-94;8932.18;7521.48;16453.66
1843;95-99;1558.80;1359.85;2918.65
1843;100-104;142.85;95.28;238.13
1843;105-109;6.90;2.99;9.89
1843;110+;0.00;0.00;0.00
1844;0;429916.92;447075.42;876992.34
1844;1-4;1494864.51;1534664.01;3029528.52
1844;5-9;1677199.96;1723429.12;3400629.08
1844;10-14;1595216.44;1639765.76;3234982.20
1844;15-19;1516373.52;1564559.87;3080933.39
1844;20-24;1434489.87;1477012.55;2911502.42
1844;25-29;1335970.76;1370716.44;2706687.20
1844;30-34;1226189.46;1273751.63;2499941.09
1844;35-39;1143355.58;1179572.93;2322928.51
1844;40-44;1090050.66;1104106.28;2194156.94
1844;45-49;1038949.13;982695.69;2021644.82
1844;50-54;891280.11;759271.30;1650551.41
1844;55-59;793194.12;665730.89;1458925.01
1844;60-64;662184.07;582625.40;1244809.47
1844;65-69;516083.32;443437.48;959520.80
1844;70-74;356013.26;285805.59;641818.85
1844;75-79;218314.39;177429.51;395743.90
1844;80-84;97760.18;84036.69;181796.87
1844;85-89;32901.07;27499.04;60400.11
1844;90-94;9064.12;7504.30;16568.42
1844;95-99;1633.44;1401.23;3034.67
1844;100-104;139.08;106.02;245.10
1844;105-109;6.11;4.61;10.72
1844;110+;0.00;0.00;0.00
1845;0;426803.43;441167.88;867971.31
1845;1-4;1501435.67;1534147.70;3035583.37
1845;5-9;1683976.62;1734368.50;3418345.12
1845;10-14;1602593.31;1646317.11;3248910.42
1845;15-19;1521274.41;1566779.70;3088054.11
1845;20-24;1438176.29;1483855.99;2922032.28
1845;25-29;1348304.33;1377598.53;2725902.86
1845;30-34;1232551.05;1282323.29;2514874.34
1845;35-39;1147164.52;1185988.12;2333152.64
1845;40-44;1083501.65;1104180.50;2187682.15
1845;45-49;1039748.90;1006452.02;2046200.92
1845;50-54;907950.41;783401.75;1691352.16
1845;55-59;801559.56;661829.46;1463389.02
1845;60-64;667172.96;584265.97;1251438.93
1845;65-69;519766.29;452602.83;972369.12
1845;70-74;361239.09;291891.45;653130.54
1845;75-79;220324.25;176184.99;396509.24
1845;80-84;98757.75;84059.48;182817.23
1845;85-89;33009.79;26956.63;59966.42
1845;90-94;9138.17;7436.69;16574.86
1845;95-99;1665.74;1411.57;3077.31
1845;100-104;144.18;99.77;243.95
1845;105-109;7.09;3.38;10.47
1845;110+;0.00;0.00;0.00
1846;0;465083.71;483651.88;948735.59
1846;1-4;1517916.29;1534348.12;3052264.41
1846;5-9;1690000.00;1748000.00;3438000.00
1846;10-14;1609000.00;1650999.99;3259999.99
1846;15-19;1527000.00;1570000.00;3097000.00
1846;20-24;1442000.00;1490000.00;2932000.00
1846;25-29;1360999.99;1385000.00;2745999.99
1846;30-34;1238000.00;1290999.99;2528999.99
1846;35-39;1153000.00;1194000.00;2347000.00
1846;40-44;1077000.01;1104999.99;2182000.00
1846;45-49;1032000.00;1022000.00;2054000.00
1846;50-54;935000.00;817000.00;1752000.00
1846;55-59;809999.99;658000.00;1467999.99
1846;60-64;672000.01;585000.00;1257000.01
1846;65-69;522000.00;460000.00;982000.00
1846;70-74;370000.00;301999.99;671999.99
1846;75-79;222000.00;175000.00;397000.00
1846;80-84;100823.37;85059.21;185882.58
1846;85-89;33338.06;26633.99;59972.05
1846;90-94;9333.52;7451.34;16784.86
1846;95-99;1744.35;1489.58;3233.93
1846;100-104;154.89;104.26;259.15
1846;105-109;8.55;4.22;12.77
1846;110+;0.00;0.00;0.00
1847;0;422431.73;438133.17;860564.90
1847;1-4;1537205.50;1565305.49;3102510.99
1847;5-9;1699355.35;1750165.29;3449520.64
1847;10-14;1611078.65;1657966.29;3269044.94
1847;15-19;1533474.11;1578678.97;3112153.08
1847;20-24;1443375.53;1489584.99;2932960.52
1847;25-29;1363359.89;1389906.64;2753266.53
1847;30-34;1250187.17;1297112.64;2547299.81
1847;35-39;1156530.92;1201583.44;2358114.36
1847;40-44;1078994.70;1109966.66;2188961.36
1847;45-49;1031311.99;1029727.25;2061039.24
1847;50-54;948596.32;851134.53;1799730.85
1847;55-59;805173.81;661625.53;1466799.34
1847;60-64;679987.99;581187.37;1261175.36
1847;65-69;530554.68;467212.28;997766.96
1847;70-74;373894.77;310814.33;684709.10
1847;75-79;222173.20;173850.60;396023.80
1847;80-84;102590.26;85101.98;187692.24
1847;85-89;33139.29;25926.03;59065.32
1847;90-94;9226.58;7239.19;16465.77
1847;95-99;1726.75;1474.01;3200.76
1847;100-104;144.41;102.17;246.58
1847;105-109;7.24;4.40;11.64
1847;110+;0.00;0.00;0.00
1848;0;402284.29;413328.98;815613.27
1848;1-4;1522721.36;1555768.31;3078489.67
1848;5-9;1708495.07;1754823.66;3463318.73
1848;10-14;1613073.42;1664255.56;3277328.98
1848;15-19;1539513.45;1586612.46;3126125.91
1848;20-24;1444844.83;1489519.14;2934363.97
1848;25-29;1365113.90;1393913.62;2759027.52
1848;30-34;1261580.27;1302320.44;2563900.71
1848;35-39;1160649.70;1208356.39;2369006.09
1848;40-44;1079253.22;1113197.18;2192450.40
1848;45-49;1026686.70;1031550.89;2058237.59
1848;50-54;958589.31;881412.54;1840001.85
1848;55-59;803775.30;667922.34;1471697.64
1848;60-64;685012.17;574928.07;1259940.24
1848;65-69;533910.16;468593.11;1002503.27
1848;70-74;374223.79;316504.52;690728.31
1848;75-79;219639.25;171375.73;391014.98
1848;80-84;101851.54;82606.19;184457.73
1848;85-89;32014.85;25132.49;57147.34
1848;90-94;8991.96;6799.48;15791.44
1848;95-99;1640.79;1403.63;3044.42
1848;100-104;140.67;103.87;244.54
1848;105-109;6.91;4.96;11.87
1848;110+;0.00;0.00;0.00
1849;0;415669.13;429905.63;845574.76
1849;1-4;1497266.07;1526500.78;3023766.85
1849;5-9;1716628.01;1761673.14;3478301.15
1849;10-14;1615515.12;1670175.18;3285690.30
1849;15-19;1544169.49;1594232.01;3138401.50
1849;20-24;1447966.76;1490013.77;2937980.53
1849;25-29;1367055.22;1397618.16;2764673.38
1849;30-34;1271892.27;1307331.87;2579224.14
1849;35-39;1165434.73;1215482.68;2380917.41
1849;40-44;1079929.56;1118021.13;2197950.69
1849;45-49;1020826.12;1031655.51;2052481.63
1849;50-54;964662.98;908115.16;1872778.14
1849;55-59;809717.63;681446.16;1491163.79
1849;60-64;690733.90;570168.91;1260902.81
1849;65-69;537434.60;468816.63;1006251.23
1849;70-74;375352.78;322838.41;698191.19
1849;75-79;219574.60;171845.63;391420.23
1849;80-84;102068.00;80374.59;182442.59
1849;85-89;31957.25;24962.95;56920.20
1849;90-94;8813.19;6554.12;15367.31
1849;95-99;1614.45;1344.28;2958.73
1849;100-104;135.01;101.36;236.37
1849;105-109;5.87;4.16;10.03
1849;110+;0.00;0.00;0.00
1850;0;424416.19;438250.47;862666.66
1850;1-4;1477188.79;1499683.31;2976872.10
1850;5-9;1719341.97;1765239.39;3484581.36
1850;10-14;1616909.49;1673546.67;3290456.16
1850;15-19;1543998.92;1598846.07;3142844.99
1850;20-24;1450597.76;1489474.43;2940072.19
1850;25-29;1365906.01;1396709.76;2762615.77
1850;30-34;1276806.97;1307844.69;2584651.66
1850;35-39;1166953.10;1218340.69;2385293.79
1850;40-44;1077710.07;1120661.29;2198371.36
1850;45-49;1010249.37;1026550.54;2036799.91
1850;50-54;960067.28;924321.03;1884388.31
1850;55-59;819843.11;699378.97;1519222.08
1850;60-64;692688.27;562953.19;1255641.46
1850;65-69;536404.25;464759.19;1001163.44
1850;70-74;373774.94;326436.59;700211.53
1850;75-79;219780.61;174009.86;393790.47
1850;80-84;101792.77;77529.15;179321.92
1850;85-89;31849.60;24718.14;56567.74
1850;90-94;8613.43;6196.27;14809.70
1850;95-99;1590.06;1227.21;2817.27
1850;100-104;139.25;97.20;236.45
1850;105-109;6.95;3.40;10.35
1850;110+;0.00;0.00;0.00
1851;0;442404.77;458515.14;900919.91
1851;1-4;1483595.23;1491484.86;2975080.09
1851;5-9;1724999.99;1775000.00;3499999.99
1851;10-14;1623000.01;1680000.01;3303000.02
1851;15-19;1543000.00;1605000.00;3148000.00
1851;20-24;1459000.00;1498000.00;2957000.00
1851;25-29;1370000.01;1401999.99;2772000.00
1851;30-34;1285000.00;1312000.00;2597000.00
1851;35-39;1174000.01;1226000.00;2400000.01
1851;40-44;1081000.00;1130000.01;2211000.01
1851;45-49;1005000.00;1027000.01;2032000.01
1851;50-54;952000.00;938000.00;1890000.00
1851;55-59;845000.00;729999.99;1574999.99
1851;60-64;699999.99;560000.00;1259999.99
1851;65-69;540000.01;463000.00;1003000.01
1851;70-74;375000.00;332000.01;707000.01
1851;75-79;225000.01;180000.01;405000.02
1851;80-84;103227.68;76128.55;179356.23
1851;85-89;32532.01;24952.85;57484.86
1851;90-94;8633.00;5871.61;14504.61
1851;95-99;1603.69;1194.74;2798.43
1851;100-104;142.64;103.20;245.84
1851;105-109;7.33;4.71;12.04
1851;110+;0.00;0.00;0.00
1852;0;426241.66;438303.84;864545.50
1852;1-4;1484500.86;1503532.95;2988033.81
1852;5-9;1728274.58;1772076.99;3500351.57
1852;10-14;1633445.62;1688077.62;3321523.24
1852;15-19;1553328.71;1616056.08;3169384.79
1852;20-24;1459575.86;1510305.82;2969881.68
1852;25-29;1375567.25;1404579.25;2780146.50
1852;30-34;1291603.35;1318964.57;2610567.92
1852;35-39;1185684.14;1231019.87;2416704.01
1852;40-44;1085244.26;1129962.61;2215206.87
1852;45-49;1007180.65;1031532.46;2038713.11
1852;50-54;950419.31;942666.09;1893085.40
1852;55-59;857381.79;761879.74;1619261.53
1852;60-64;696055.53;562930.74;1258986.27
1852;65-69;547613.24;460232.04;1007845.28
1852;70-74;380894.36;334231.08;715125.44
1852;75-79;226840.01;186105.86;412945.87
1852;80-84;103805.79;74519.66;178325.45
1852;85-89;32779.82;24744.11;57523.93
1852;90-94;8373.64;5595.53;13969.17
1852;95-99;1614.62;1144.58;2759.20
1852;100-104;148.52;104.16;252.68
1852;105-109;7.90;5.61;13.51
1852;110+;0.00;0.00;0.00
1853;0;422007.66;436379.35;858387.01
1853;1-4;1472653.07;1495442.97;2968096.04
1853;5-9;1724141.96;1763589.43;3487731.39
1853;10-14;1642019.21;1695849.93;3337869.14
1853;15-19;1561224.89;1623895.46;3185120.35
1853;20-24;1462837.81;1524164.21;2987002.02
1853;25-29;1379303.08;1407186.92;2786490.00
1853;30-34;1296503.55;1324549.94;2621053.49
1853;35-39;1197798.56;1237166.64;2434965.20
1853;40-44;1091328.06;1132998.45;2224326.51
1853;45-49;1008479.70;1033394.30;2041874.00
1853;50-54;946611.67;943841.68;1890453.35
1853;55-59;867753.76;791616.28;1659370.04
1853;60-64;696315.45;570390.49;1266705.94
1853;65-69;554484.99;457144.86;1011629.85
1853;70-74;386489.74;334512.55;721002.29
1853;75-79;228682.00;191650.73;420332.73
1853;80-84;104518.25;74166.74;178684.99
1853;85-89;33349.79;24422.54;57772.33
1853;90-94;8208.20;5431.84;13640.04
1853;95-99;1625.00;1110.65;2735.65
1853;100-104;136.34;100.01;236.35
1853;105-109;6.21;5.23;11.44
1853;110+;0.00;0.00;0.00
1854;0;414883.41;430682.55;845565.96
1854;1-4;1468315.79;1492102.14;2960417.93
1854;5-9;1716104.89;1753077.91;3469182.80
1854;10-14;1649288.07;1703884.71;3353172.78
1854;15-19;1566348.34;1629419.32;3195767.66
1854;20-24;1468255.05;1536290.26;3004545.31
1854;25-29;1382286.75;1411446.13;2793732.88
1854;30-34;1300215.42;1329326.96;2629542.38
1854;35-39;1209223.24;1243566.50;2452789.74
1854;40-44;1099630.95;1139807.25;2239438.20
1854;45-49;1009921.40;1034244.09;2044165.49
1854;50-54;942203.08;944103.94;1886307.02
1854;55-59;874138.65;816543.41;1690682.06
1854;60-64;702106.74;583600.14;1285706.88
1854;65-69;559503.68;454626.10;1014129.78
1854;70-74;389434.47;332883.08;722317.55
1854;75-79;229245.75;193951.87;423197.62
1854;80-84;103980.61;74230.30;178210.91
1854;85-89;33060.81;23820.92;56881.73
1854;90-94;7873.36;5211.37;13084.73
1854;95-99;1581.09;1020.62;2601.71
1854;100-104;125.94;87.90;213.84
1854;105-109;5.31;4.60;9.91
1854;110+;0.00;0.00;0.00
1855;0;405466.38;418712.17;824178.55
1855;1-4;1444703.53;1465534.28;2910237.81
1855;5-9;1699789.27;1735362.14;3435151.41
1855;10-14;1653396.27;1709160.43;3362556.70
1855;15-19;1567759.91;1632242.89;3200002.80
1855;20-24;1472510.66;1537042.37;3009553.03
1855;25-29;1381581.69;1411829.59;2793411.28
1855;30-34;1298353.88;1328578.78;2626932.66
1855;35-39;1214372.07;1244729.51;2459101.58
1855;40-44;1104399.41;1145168.12;2249567.53
1855;45-49;1006475.54;1028311.52;2034787.06
1855;50-54;931891.78;937897.67;1869789.45
1855;55-59;867956.37;828778.59;1696734.96
1855;60-64;708556.27;599180.89;1307737.16
1855;65-69;558399.79;447125.00;1005524.79
1855;70-74;386448.66;326762.11;713210.77
1855;75-79;227161.63;192978.67;420140.30
1855;80-84;102712.63;74402.01;177114.64
1855;85-89;32517.32;22829.39;55346.71
1855;90-94;7483.69;5032.86;12516.55
1855;95-99;1487.89;940.93;2428.82
1855;100-104;135.40;76.86;212.26
1855;105-109;7.48;3.56;11.04
1855;110+;0.00;0.00;0.00
1856;0;434389.52;455408.36;889797.88
1856;1-4;1433610.47;1443591.64;2877202.11
1856;5-9;1680000.00;1717000.00;3397000.00
1856;10-14;1656000.00;1713000.00;3369000.00
1856;15-19;1568000.00;1636999.99;3204999.99
1856;20-24;1481000.00;1523999.99;3004999.99
1856;25-29;1383000.00;1407999.99;2790999.99
1856;30-34;1298000.01;1328000.01;2626000.02
1856;35-39;1220999.99;1247000.01;2468000.00
1856;40-44;1113999.99;1156000.00;2269999.99
1856;45-49;1006000.00;1023000.00;2029000.00
1856;50-54;927000.00;937000.00;1864000.00
1856;55-59;857000.01;835000.00;1692000.01
1856;60-64;726999.99;625000.00;1351999.99
1856;65-69;560000.01;442000.01;1002000.02
1856;70-74;385000.00;322000.00;707000.00
1856;75-79;224999.99;190000.00;414999.99
1856;80-84;101316.47;74790.22;176106.69
1856;85-89;31553.30;21436.85;52990.15
1856;90-94;6966.77;4793.09;11759.86
1856;95-99;1312.05;815.89;2127.94
1856;100-104;122.52;71.41;193.93
1856;105-109;7.12;3.18;10.30
1856;110+;0.00;0.00;0.00
1857;0;415716.92;430717.49;846434.41
1857;1-4;1448575.83;1468058.42;2916634.25
1857;5-9;1668225.22;1701036.51;3369261.73
1857;10-14;1664547.27;1715563.80;3380111.07
1857;15-19;1576329.67;1643163.84;3219493.51
1857;20-24;1485361.22;1527409.00;3012770.22
1857;25-29;1387026.25;1408597.79;2795624.04
1857;30-34;1305206.38;1332880.77;2638087.15
1857;35-39;1226772.22;1253809.91;2480582.13
1857;40-44;1122900.88;1152357.91;2275258.79
1857;45-49;1016407.85;1031058.21;2047466.06
1857;50-54;926112.49;935305.96;1861418.45
1857;55-59;852498.41;837110.56;1689608.97
1857;60-64;737157.16;652467.92;1389625.08
1857;65-69;556960.60;445390.01;1002350.61
1857;70-74;391284.24;321642.33;712926.57
1857;75-79;229220.54;192968.64;422189.18
1857;80-84;103157.68;77951.68;181109.36
1857;85-89;31578.97;21135.90;52714.87
1857;90-94;7051.97;4842.52;11894.49
1857;95-99;1235.65;785.67;2021.32
1857;100-104;124.84;62.04;186.88
1857;105-109;7.57;0.58;8.15
1857;110+;0.00;0.00;0.00
1858;0;408258.28;422847.64;831105.92
1858;1-4;1438930.07;1461821.73;2900751.80
1858;5-9;1665114.64;1693426.04;3358540.68
1858;10-14;1661984.41;1709097.62;3371082.03
1858;15-19;1586007.23;1649811.27;3235818.50
1858;20-24;1490047.84;1539890.64;3029938.48
1858;25-29;1392228.26;1415041.28;2807269.54
1858;30-34;1310533.99;1336179.74;2646713.73
1858;35-39;1232667.71;1260554.33;2493222.04
1858;40-44;1132580.82;1154403.39;2286984.21
1858;45-49;1025560.63;1035958.73;2061519.36
1858;50-54;926356.20;933115.49;1859471.69
1858;55-59;845337.06;836199.21;1681536.27
1858;60-64;743483.67;676034.17;1419517.84
1858;65-69;556047.89;451048.57;1007096.46
1858;70-74;394938.05;320289.60;715227.65
1858;75-79;231451.31;194037.47;425488.78
1858;80-84;104103.49;80260.01;184363.50
1858;85-89;31602.12;20964.69;52566.81
1858;90-94;7075.49;4771.17;11846.66
1858;95-99;1171.42;799.49;1970.91
1858;100-104;110.33;74.55;184.88
1858;105-109;4.70;2.22;6.92
1858;110+;0.00;0.00;0.00
1859;0;423653.39;438032.98;861686.37
1859;1-4;1426405.12;1453765.36;2880170.48
1859;5-9;1665900.86;1689791.70;3355692.56
1859;10-14;1652027.29;1697449.78;3349477.07
1859;15-19;1596877.74;1656726.75;3253604.49
1859;20-24;1495429.81;1554177.85;3049607.66
1859;25-29;1397281.63;1424145.40;2821427.03
1859;30-34;1315000.57;1339141.54;2654142.11
1859;35-39;1237278.78;1266215.85;2503494.63
1859;40-44;1142273.01;1161519.55;2303792.56
1859;45-49;1033952.09;1036894.35;2070846.44
1859;50-54;928683.91;930941.45;1859625.36
1859;55-59;836946.09;833249.63;1670195.72
1859;60-64;744461.52;693602.08;1438063.60
1859;65-69;556838.78;459733.61;1016572.39
1859;70-74;395542.16;317119.80;712661.96
1859;75-79;230724.60;193310.29;424034.89
1859;80-84;103280.01;81565.41;184845.42
1859;85-89;31226.22;21124.35;52350.57
1859;90-94;6932.28;4698.12;11630.40
1859;95-99;1143.42;819.48;1962.90
1859;100-104;104.15;79.28;183.43
1859;105-109;3.29;3.44;6.73
1859;110+;0.00;0.00;0.00
1860;0;427461.88;443731.33;871193.21
1860;1-4;1408718.65;1442397.50;2851116.15
1860;5-9;1663961.95;1682156.70;3346118.65
1860;10-14;1635860.57;1680964.40;3316824.97
1860;15-19;1605827.71;1661299.06;3267126.77
1860;20-24;1500363.99;1561923.94;3062287.93
1860;25-29;1401330.12;1433824.26;2835154.38
1860;30-34;1318843.51;1341327.50;2660171.01
1860;35-39;1239907.03;1269197.38;2509104.41
1860;40-44;1152364.25;1173318.46;2325682.71
1860;45-49;1041428.99;1033971.70;2075400.69
